,p
17_53,"The key environmental challenges that the country faces relate to the nexus of environmental degradation, poverty and economic growth"
12_29,5.12.2 Key Challenges
12_28,"Besides construction companies, there are about 63 architects and 46 construction related consultants in Bhutan."
1_31,Literacy is higher in urban areas at 79 percent as compared to 56 percent in rural areas
1_30,"According to BLSS 2012, the general literacy rate has increased from 59.5 percent in 2005 to 63 percent in 2012"
1_33,"However, the Gender Parity Index is calculated at 1.02, indicating that on the whole there is no significant gender inequality in the Bhutanese education system"
1_32,"In terms of gender, literacy is higher among males at 72 percent as compared to 55 percent for females"
1_35,5.1.2  Key Challenges
1_34,"Both boys and girls have equal opportunities in terms of access, quality of learning process, equality of outcomes and external results."
1_37,This indicates that 1.5 percent of primary school going age children are out of school
1_36,Last mile challenges and disparities at local levels - The Adjusted Net Enrolment Ratio (ANER)29 for primary education is 98.5 percent (2013)
1_39,"Further, while national statistics indicate good progress in overall enrollment rates, the Bhutan Multiple Indicator Survey 2010 indicates that some disparities in achievements exist between urban and rural areas, Dzongkhags and genders"
1_38,"This 1.5 percent are assumed to be children in remote and hard to reach areas, children of nomadic communities, children with learning disabilities whose special learning needs are yet to be catered for and children of the urban poor."
18_18,The national Gender Parity Index (GPI) is reported at 1.0267
7_144,"Geological Mapping, Mineral Exploration and Sustainable Mineral Development: The demand for industrial minerals and construction materials will increase rapidly over the next few decades and therefore, the mineral sector will continue to play an important role in Bhutan's socio-economic development"
17_54,"Population growth, increasing demand of natural resources, inappropriate technology and consumption choices, and pressures of development are the drivers of environmental degradation."
17_57,"The environmental problems such as lack of access to adequate clean water, clean air and energy are closely linked to poverty"
18_13,"In addition, to strengthen performance of government agencies, the Government Performance Management System (GPMS) has been developed, Agencification Guidelines framed and 136 most commonly availed Government to Citizen Services - G2C services such as birth and death registration, trade licenses, timber permit etc - simplified and automated."
7_142,6
10_57,"Development of Air Transport - the programme will focus on further expansion of the Paro International Airport to deal with the expansion in air traffic and passengers, as well as strengthen the domestic airports to optimize their functionality."
14_13,"RENEW provides counseling, temporary and long-term shelters, legal assistance and need-based provision of vocational training in selected skills and micro-enterprises as a way of providing opportunities to help transform lives of manywomen.   Draktsho Vocational Training Centre for Special Children and Youth, established in 2001 as a CSO to empower disabled youth through training for their eventual integration into the mainstream population"
7_143,Improve market access
18_34,"At the same time, efforts will be made to deepen fiscal decentralization such as selected revenue sharing so as to create incentives for local governments to promote more commercial activities."
14_28,"and life skills such as personal management skills, sign language, safety skills, etc"
14_48,"Also, there are very few studies, baseline data, surveys etc to get a clear understanding of the situation and to recommend appropriate interventions"
14_43,5.14.2 Key Challenges
14_42,In the last three to four years about 300-400 cases are reported annually.
14_41,"Domestic violence - Records with RENEW indicate that cases of domestic violence are on the rise with a total of 1,141 cases reported till now in the country"
14_40,"The largest number of senior citizens lived in the Eastern region (35433), followed by the Southern region (28697) and least lived in the Western region (11478)."
14_47,"Therefore, resources and coordination is a major problem."
14_46,"Further, while there are a number of CSO/associations established to address these issues, many of these CSO/authorities lack technical and financial resources to be able to comprehensively address issue"
14_45,Many of the issues are being currently addressed based on the initiative of various sectors or CSOs/association
14_44,There is no one overall agency within the government responsible for coordination of these emerging issues
17_24,Air environment - Air environment to a large extent is still unpolluted
17_25,"Currently, monitoring of air quality is limited to suspended particulate matter (PM10), while SOx and NOx are monitored periodically"
17_26,"The air quality monitoring stations have been established in Gomtu, Pasakha, Bajo, Kanglung, Kurichhu and Thimphu and data from these stations are broadcast on Bhutan Broadcasting Service Television (BBS TV) and websites of BBSC,"
17_27,Kuensel and NEC for dissemination of information
17_20,Standards for PM10:
17_21,Air Pollution Index - NationalEleventh Five Year Plan - Main Document Volume I
17_22,"5,600 species of vascular plants, 600 species of birds and 190 species of mammals"
17_23,26 species of mammals and 14 species of birds found in Bhutan feature in the World Conservation Union's Red List of Threatened Species59.
3_19,"On one hand, we continue to be dependent on expatriates, international volunteers and foreign skilled manpower while on the other hand unemployment, particularly youth unemployment, remains high"
17_28,Thimphu recorded suspended particulate matter (SPM) of 45.80g/m3 on 17/6/201360
17_29,"Pasakha, Gomtu and Phuntsholing recorded significantly higher PM 10 concentration than Thimphu"
16_22,The seal authenticates wholly produced and/or substantially transformed products with required minimum value addition within Bhutan.
3_18,The current human resource development strategy also lacks synergy between the education system and manpower needs leading to mismatch of aspirations of the job seekers and jobs available
14_26,"The shelter provides emergency protection, food and lodging, emergency medical care, crisis intervention and counseling."
10_22,"With the completion of construction of Yongphula, Bumthang and Gelephu airports, domestic air services was launched in 2011 by Druk Air and Tashi Air (first private domestic operator)"
4_18,"The impressive economic growth achieved by the secondary and tertiary sectors has not translated into jobs, thereby indicating some levels of inequity in economic growth."
4_19,Even among the employed many are still vulnerable and lack income and social security as 40 percent of those employed are agriculture family workers
4_14,"Gasa, Bumthang, Pema Gatshel and Samdrup Jongkhar had unemployment rate of less than 1 percent."
4_15,5.4.2  Key Challenges
4_16,"Quality of employment - While we have been successful in reducing unemployment rates, the review of LFS 2012 indicates that the quality of employment could be improved."
4_17,The agriculture and forestry sector continue to be the largest employer while contributing least to GDP growth rate
4_10,"Agriculture sector continues to be the largest employer accounting for 62 percent of total employment, followed by public administration at 8 percent, manufacturing at 5 percent and others contributing less than 5 percent"
4_11,"In terms of gender, the percentage of females employed are higher in agriculture, wholesale and retail trade, and hotels and restaurants sectors."
4_12,"In terms of the nature of employment, majority of those employed are agriculture family worker36 representing 39.5 percent followed by regular paid employee consisting of 23.9 percent of the total."
4_13,"At the Dzongkhag level, the unemployment was highest in Thimphu with an unemployment rate of 4.3 percent followed by Sarpang, Trongsa, Tsirang, Dagana, Paro and Zhemgang all registering unemployment rates higher than the national average of 2.1 percent"
17_68,Water Security - Water is an important natural resource for basic survival of all living beings
9_9,"The main thrust in the Eleventh Plan will be to make the sector ""affordable, reliable and sustainable"" through implementation of the E-Gov Master Plan"
9_8,"Further, an E-Gov Master Plan that has been developed to provide the strategic direction for development of the sector will be implemented during the Eleventh Plan."
9_7,"Given the importance of the sector, a number of initiatives have been implemented to strengthen the ICT backbone infrastructure, develop appropriate policy and legislation and enhance the technical capacity of ICT professionals"
9_6,"The sector has been identified as one of the sectors for provision of high end green services such as Business Process Outsourcing (BPOs), Knowledge Process Outsourcing (KPOs), Data Centres and other IT enabled services in health, education, finance etc."
9_5,"ICT and Media are also critical ""to promote a green and self reliant economy sustained by an IT enabled knowledge society guided by the philosophy of GNH"" as underlined in the Economic Development Policy 2010 (EDP)"
9_4,"Accordingly, the Right to Information Bill was tabled in the first session of the second Parliament in September 2013 and will be further deliberated during the next session."
9_3,The right to information as enshrined under Article 7(3) of the Constitution is a fundamental right of every Bhutanese citizen
9_2,"It is a key element for empowering people and enhancing transparency, accountability and good governance"
9_1,"Information, Communication & Technology and Media play an important role in developing a more open, just and democratic societies"
9_0,"Information, Communication & Technology and Media Sector"
3_13,Lack of qualified human resources in various positions is an issue and only about 47 percent of the civil servants meet the minimum qualification criteria
11_3,Since then the network of roads and bridges have expanded significantly and today all twenty Dzongkhags are connected by road.
18_24,"Transparency International's 2012 Corruption Perception Index ranked Bhutan 33rd among the 176 nations, an improvement of five positions from 38th in 2011"
18_47,The government will ensure full implementation of the National Anti-corruption strategy and agencies combating corruption will be strengthened and equipped with adequate resources.
18_46,Civil service rules and regulations will be reviewed and revised to make civil service more efficient.
18_45,A legislation to ensure quota for women in elected offices including the parliament and local government bodies will be drafted and presented to the Parliament.
3_12,"In terms of educational qualifications, about 66 percent of civil servants have a diploma and below, 22 percent have Bachelors Degree and the rest have a post graduate diploma, Masters or Ph.D degree"
18_43,"Education, awareness and capacity building will be one of the key strategies to enhance political participation, particularly the youth and women."
18_42,5.18.4 Strategies
18_41,"The major areas of concerns are the misuse of authority, misuse of government property, embezzlement and nepotism."
18_40,Corruption - While the ACC's 2012-13 annual report indicates that people's perception of the prevalence of corruption is declining it is still a challenge
10_36,"With the expansion of aviation sector, the Department of Civil Aviation is confronted with a key challenge of retaining its professionals who are being offered better remuneration and service conditions by the airline companies"
10_37,"Further, conflicting functions of regulation and implementation being carried out by the department is creating potential for conflict of interest"
10_34,"At present, Paro International Airport caters to 160,000 passengers annually, an average of 450 passengers per day, 3800 scheduled flights annually, and about 10 flights daily in and out of Paro"
10_35,"A key issue is the capacity of Paro airport to serve double the number of passengers, flights and air cargo in the Eleventh Plan."
10_32,"Moreover, since the transport functions are carried out by number of agencies- highway construction and maintenance by the Department of Roads, urban roads by Thromde, traffic management by the Royal Bhutan Police, licensing/ vehicle fitness by the Road Safety Transport Authority - issues of coordination and implementation is a challenge."
10_33,"Air transport - Air travel is the most efficient means of travel to and from Bhutan, particularly for tourists, business travelers, foreign investors and medical referrals patients, the alternate being travel by road through India"
10_30,"With increase in number of vehicles, the number of motor vehicles accidents has also been on the rise with figures increasing from 696 in 200548 to 1,730 in 2011"
10_31,Thimphu and Chukha Dzongkhags tops the accident list with light vehicles leading the category of vehicles involved in accidents.
10_38,"Therefore, retention of professionals and separation of conflicting function are critical issues that need to be reviewed and addressed in the Eleventh Plan."
10_39,5.10.4 Strategies
13_28,"In 2010, the Parliament approved four Class A Thromdes and 18 Class B Thromdes"
13_29,Yenlag Throms are yet to be approved.
18_19,"This indicates that on the whole, the correct proportions of females in relation to males are enrolled in the education system and there is no gender inequality in the Bhutanese education system."
11_2,"Recognizing the importance of the roads and bridges sector, Bhutan started its first Five Year Plan in 1961 with the construction of the first national highway - Phuentsholing-Thimphu highway"
13_20,The criteria for various categories of towns are as follows:
13_21,"Class A Thromdes should have a resident population of more than 10,000 with population density of 1,000 persons or more per square kilometers"
13_22,The area should not be less than 5 square kilometers and should have revenue base sufficient to finance the establishment and maintenance of infrastructure and provision of services
13_23,It should have a national administrative significance such as being the capital city or a town that services more than one Dzongkhag.
13_24,Class B Thomdes should have a resident population of more than 5000 with population density of 300 persons or more per square kilometers
13_25,The area should not be less than 1 square kilometer
13_26,"It should have significant commercial, industrial or institutional centre and at least 50 percent of the population dependent on non-primary activities."
12_22,The contractor classification was re-categorized to increase flexibility and to allow contractors to participate in larger contract
7_79,"About 15,000 square kilometer from the total geographical area of 38,394 square kilometer has been geologically mapped in the scale of scale of 1:50,000 systemically"
17_106,The Ministry will also carry out a study to understand ecology and behavioral aspects of the main conflict species and develop a strategy to address the issue on a permanent basis.
9_28,22 G2C e-services have been made available through the CCs that are connected with internet.
12_20,The sector's contribution is expected to increase in the coming years with accelerated development of hydro-power projects
11_1,"For a landlocked country, a good network of road and bridges play a critical role in facilitating trade, transit, reducing the high cost of transportation normally associated with mountainous countries and for delivery of socio-economic services particularly to scattered and far-off rural communities."
14_35,"The prevalence of cognitive disability was highest with 15 percent, followed by behavior disability 5.6 percent and fine motor 5.5 percent."
17_63,The challenge of the task lies in the lack of capacity within the National Environment Commission to undertake such a huge activity.
17_94,Implementation of the National Strategy and Action Plan for Low Carbon Development 2012.
6_4,Travel to Bhutan is booked either through Bhutanese tour operator or their international partners.
6_5,Culture and nature are the two leading purposes for tourist arrivals
17_110,National bio-diversity conservation
15_16,"The government will facilitate the implementation of the road map by ensuring enabling conditions for development of sports in the form of access to land, mainstreaming sports in sector/local government policies and programmes, incentives and participation in national, regional and international sporting events."
15_15,"The main strategy will be the implementation of the ""Strategic Vision and Road Map for Development of Sports in Bhutan"" by the BOC"
15_14,5.15.4 Strategies
15_13,5.15.3 Sector Key Result Areas
15_12,"The major challenges include lack of infrastructure facilities, human resources capacity and financial sustainability."
15_11,5.15.2 Key Challenges
15_10,"In Thimphu, the BOC manages various sports facilities (the national stadium including the archery range, taekwondo training centre, Olympic archery range, synthetic athletic track and field arena, table tennis hall) even though BOC does not have legal ownership over these facilities."
8_50,"Hence, strengthening meteorological network coverage and enhancing weather and climate information services will be the focus."
17_102,This will be supported with the development of online environmental clearance system.
8_51,"Promotion and Development of Renewable/Alternate Energy Technologies - The Programme aims to diversify energy supply mix using other renewable energy resources like solar, wind, biomass, small hydro and other emerging modern fuels for energy generation and to strengthen the institutional capacity for provision of efficient and responsive energy services in the Country"
17_74,Only 78 percent of the population has access to safe drinking water and about 12.5 percent of arable land is irrigated63.
16_10,The National Library of Bhutan has been equipped with archiving and microfilming facilities of important historical documents and records
9_26,"Internet services are provided by Druknet (under BTL), TICL, Samden Tech and Drukcom."
13_59,"Development of valley plans, regional hub plans and rural urban development plans will be accelerated in order to contain the rural urban migration"
8_52,"The Program intends to develop Renewable Energy Master Plan, conduct pre-feasibility and feasibility studies to attract the investors in the RE Sector"
13_55,NHDC's assessment indicate that low income people spend about 50-60 percent of their income on house rent in Thimphu and Phuentsholing against an ideal proportion of 30 percent of income.
13_54,The high cost of financing and raw materials makes construction expensive resulting in higher rents
13_57,5.13.4 Strategies
8_53,"The Programme will promote biogas plants as alternate source of fuel for cooking, Compact Fluorescent Lamp (CFL) instead of incandescent lamps in the LV category consumers, energy efficient wood stoves to reduce fuel-wood demand and solar water heating systems as alternative means for heating water and space."
13_51,"Places like Thimphu, Phuentsholing, Gasa, Lhuentse and Samdrup Jongkhar have severe housing shortages"
13_50,"A decade after its establishment not much progress has been made considering the present housing stock of 1,122 units which includes units/bungalows constructed in 1970s and 1980s"
13_53,The challenge is not only in terms of increasing the housing stock but also making it affordable particularly for the low and middle income group
13_52,"As a result, many Bhutanese in Phuentsholing are forced to live across the border and in places like Gasa and Lhuentshe civil servants are living in temporary makeshift houses due to lack of proper housing."
6_52,Programme details are presented in Eleventh Plan Volume II document.
6_50,The training modules and curriculum will be reviewed and improved based on periodic training needs assessments
6_51,Required additional infrastructures will be put in place and capacity development of faculties will receive priority.
2_58,"In addition, anemia prevalence in women and children are quite alarming with 54.8 percent and 80.6 percent respectively"
2_59,"Bhutan has also been experiencing sporadic outbreaks of vitamin deficiencies, particularly Vitamin B1 and B12 since 1998, and occurrences have been recorded almost every year"
2_56,Nutrition - The general nutritional status of the people has been improving over the decade
2_57,"While malnutrition indicators like underweight prevalence and wasting have improved, stunting prevalence of 33.5 percent still remains as a major public health issue"
2_54,Infant death and especially neonatal death are among the highest death occurring within the health facilities
2_55,There is a need to invest heavily in this area.
2_52,"However, performance on certain indicators such as MMR, compared to other countries in the region and the low allocations relative to health spending is still a cause of concern"
2_53,Nearly two-fifth of deliveries are still attended by medically untrained personnel increasing the risk of maternal and neonatal death
2_50,"Dengue, chikugunya outbreaks have been reported, isolated cases of Kala-azahar are reported and Japanese Encephalitis is also suspected to have made its entry."
2_51,Maternal and Child Health- Tremendous progress has been made in the field of mother and child health
9_27,"e-Service Delivery - In the area of e-Services, a Government-to-Citizen (G2C) initiative is underway to implement 136 e-Services"
17_19,Industrial area (200g/ m3) *g/ m3= Micro gram per meter cube
17_18,Mixed area (100g/m3)3
14_12,"RENEW (Respect, Educate, Nurture and Empower Women), which was established as a CSO in 2004 and is dedicated to the empowerment of women and girls in Bhutan, especially victims of domestic and gender based violence"
17_15,"58Water and air pollution, land degradation and bio-diversity health."
17_14,The country has more than
17_17,Sensitive area (75g/m3)2
17_16,1
17_11,"Presently, carbon emissions are about one third of the total sequestration capacity of our forest."
17_10,The high level of forest coverage has allowed Bhutan to maintain negative carbon emissions
17_13,Bhutan also falls within the top ten global biodiversity hotspots
17_12,Biological diversity - 51.32 percent of the country is under a protected area network which includes ten protected areas and biological corridors
1_119,"Professional Development for Teachers: Towards enhancing teacher morale and motivation and improving the quality of the teaching profession, Teacher Human Resource Policies and the In-Service Teacher Education and Training (INSET) Masterplan have been drawn up for implementation"
1_118,"Similarly, the downgraded schools or ECRs would be developed to ensure quality learning for the remaining students, and the additional teachers made available as a result of the rationalization would be redeployed by the Dzongkhag to the schools which face teacher shortage."
1_117,"With rationalization, all the primary schools would be developed to ensure that they are adequately and appropriately staffed and resourced, and the children have access to an appropriate and conducive teaching learning environment"
1_116,"Currently, there are approximately 270 primary schools with enrolment of less than 100 children"
1_115,The approach would be to downgrade unsustainable primary schools with enrolment of less than 100 students which do not have scope for future increase in enrolment to extended classrooms (ECRs)
1_114,"The Plan will also ensure sustainability of education service delivery by making efficient and effective use of available resources through the rationalization process keeping in mind the ground realities facing each Dzongkhag, Gewog and school."
1_113,"The Eleventh Plan will focus on rationalization of schools with the objective of ensuring quality learning outcomes, with particular focus on children in remote rural schools."
1_112,Due to lack of economies of scale the difficulty of providing appropriate and adequate infrastructure facilities and resources results in multi-grade teaching learning situations which ultimately compromise the overall quality of education.
1_111,The deployment of teachers continues to be a major issue due to the remote and difficult location of these extremely small schools
1_110,"While facilitating access and enhancing enrolment, this strategy has led to other challenges"
5_39,"Other crop diseases such as Gray Leaf Spot and Turcicum Leaf Blight in maize, Greening in Citrus, phythoptra diseases in chilli and potatoes also continue to pose major challenges. Domestic cattle and equine population left stray in winter is one of leading factor discouraging farmers from growing winter and spring crops such as wheat, barley and buckwheat affecting the cropping intensity and overall production potential."
5_38,It is estimated that 126 kgs of crops per household are lost annually to wild animals pests
5_35,Dry land irrigation for other crops is virtually non-existent.
5_34,"Of the 77,493 acres of ""chuzhing"" only 59,243 acres are serviced with improved irrigation system"
5_37,"Feral vertebrate pests such as wild boar and deer, apes such as monkey and marsupial like porcupine are major problem"
5_36,"Further, pest and diseases continue to be a problem for the farming communities"
5_31,Assessment indicates that 31 percent of the agriculture land is located on slopes more than 50 degrees
5_30,"With the exception of few wide valleys in the western, central and some plains in the southern part of the country, in most part agricultural lands are located on the slopes"
5_33,"Moreover, despite having an abundance of water resources, agriculture is still dominated by the rain-fed dry land farming and wetland cultivation"
5_32,"This is also one of the reason why soil erosion rate is high, estimated at 8.6 tonnes/ha or approximately 3.5 t/acres (DOA, 2011)."
7_102,Diversification of our exports in agricultural and non-mineral and non-metal products will however require substantial investments.
7_103,"Ease of Doing Business - In the 2012 IFC/World Bank Report on ""Ease of Doing Business"" Bhutan ranked 142 out of 183 countries"
7_100,Bhutan faces major challenge in product diversification
7_101,Continued emphasis on mineral products and base metals for export promotion could mean compromising on environmental concerns and having to continue to provide electricity to these industries at prices lower than export prices
7_106,"While development of such industries are important in view of Bhutan's desire to develop clean green manufacturing industries with high potential for employment and for promoting broad based inclusive growth, they are constrained by lack of access to capital, technology, markets and labour resulting in low volume, high cost and inferior quality products."
7_107,"Mining - In the absence of a clear mineral development policy, the management, allocation and monitoring of mining sector has been difficult"
7_104,"The areas requiring improvements were resolving insolvency, protecting investors, getting electricity and dealing with construction permits amongst others"
7_105,"In the region, Bhutan ranks seventh out of eight countries.Industrial base - About 85 percent of Bhutanese industries are small and micro industries dealing in agro products, textiles and handicrafts and large number of such industries are located in urban areas"
17_60,"While there are some good practices being carried out on a pilot basis, lack of proper waste management, indiscriminate littering, open dumping of solid waste are some of the challenges faced which eventually pollutes natural environment posing serious hazards to public health"
17_61,"While the waste regulation is being revised, education, awareness and advocacy programmes are very critical for proper waste management."
7_108,The sector also faces human resource constraints both in the government and the private mining sector which has hampered effective functioning of the sector
7_109,"The draft Mineral Development Policy has been prepared to address these issues, and is expected to be approved within the first year of the Eleventh Plan."
17_64,"Another major set of challenges arises from emerging global environmental concerns such as climate change, global warming, stratospheric ozone depletion, and biodiversity loss"
17_65,The key is to operationalize the principle of common but differentiated responsibility of countries in relation to these problems
17_66,"At the same time, multilateral regimes and programmes responding to these global environmental issues must not adversely impact the development opportunities of developing countries."
17_67,The major challenge faced by the sector in implementation of the legislation pertains to lack of human resources and capacity.
4_50,Promotion of full and productive employment
4_51,Promotion of decent working conditions and work environment Programme details are presented in Eleventh Plan Volume II document.
6_6,The majority of arrivals are in spring (February-April) and autumn (August-October) season.
6_7,The tourism sector is the major source of foreign exchange earnings and employment
6_0,Tourism Sector
6_1,"Tourism in Bhutan is governed by the policy of ""high value-low impact"" tourism"
6_2,The policy serves to develop tourism that has minimum negative impact on our natural and cultural heritage
6_3,The tourism pricing of USD $200 per person per night during off-seasons and USD $250 per person per night during seasons forms the basis for regulating tourist arrivals
17_91,5.17.3Sector Key Result Areas
6_8,"Gross earnings in 2012 were USD 62.80 million and approximately 22,045 employment opportunities were created in 2011"
6_9,"Out of USD 62.80 million, USD 16.63 million was generated as direct revenue for the Government through the ""Royalty"" (35 percent tourism levy on daily tariff)"
17_86,"However, issues of coordination among different stakeholders; water rights issues; water conservation, management and utilization; etc remain a challenge."
17_87,Human-wildlife conflict - The success of environment conservation has created a new challenge of human-wildlife conflict affecting all 20 Dzongkhags
17_84,Hydropower not only contributes to export earnings but it is also one of the main reasons for enhancing competitiveness of many of our industries due to cheap electricity.
17_85,"Recognizing the importance of water, the government enacted Water Act in 2011 and formulated of Water Vision 2025 and Water Policy"
16_38,A plan for promotion and preservation of culture and traditions in all its forms will be formulated to guide the development of this important area.
16_39,"The inventory and documentation of oral traditions, history, arts and objects, living expressions, and architectural knowledge will be carried out."
17_80,"In the Tenth Plan, to enhance paddy production extensive network of new irrigation schemes were constructed in targeted Dzongkhags but without adequate and reliable water source these schemes may not benefit the farmers."
17_81,"Further, hydropower sector is the major contributor to the national revenue"
16_34,Cultural industries have the potential to contribute to poverty alleviation by enhancing rural incomes
16_35,"However, economies of scale, quality and access to markets are among the challenges that need to be addressed to harness this potential."
16_36,5.16.3 Sector Key Result Areas
16_37,5.16.4 Strategies
16_30,"Preserving, promoting and documenting the fading intangible cultural heritage are crucial."
16_31,"In terms of the tangible cultural heritage, many of the rich historical, cultural and spiritual sites which existed for centuries are under threat from both natural and manmade disasters such as earthquakes, windstorms, landslides, vandalism and fire"
16_32,"Conservation, restoration, making these sites disaster resilience, inventorying of these monuments and capacity building in conservation practices have become necessary"
16_33,The investment required for these activities are substantial and could pose a challenge.
8_21,A new element in the revised electricity tariff is that rural consumers are provided free electricity for first 100 units for the next three years
8_20,"High voltage (HV) consumers or factories in West Bengal pay Rs 6.13 a unit, while in Assam it is Rs 4.18 a unit"
8_23,5.8.2  Key Challenges
8_22,This was done to encourage the rural community to use electricity to cut down use of firewood for environmental and health reasons.
8_25,The Government of India has agreed to provide the required financing and also buy any surplus power through the Umbrella Agreement on Development of Hydropower Projects signed between the two governments in 2006 and a Protocol to the 2006 agreement signed in 2009
8_24,The high upfront investment costs required for developing hydro-power projects pose significant challenge in terms of raising financing for the project
8_27,The extensive rural electrification programme to supply electricity to all households through grid and non-grid supply carried out since the Sixth Plan has resulted in substantial increase in number of domestic consumers and the demand for electricity
8_26,The pace of hydropower project development will however depend on the availability of financing.
8_29,"Other challenges that need to be addressed include infrastructure development, system reinforcement and human resource capacity."
7_68,"The FDI projects are in hotels, hydropower, pharmaceuticals, dairy, steel, water bottling and banking"
9_24,"Of the 182 Community Centres (CCs) that have been established, Telecommunications - All 205 Gewogs have access to mobile services and the remaining 10 villages will be connected by mobile services by the end of 2013"
9_25,"B-Mobile, a subsidiary of Bhutan Telecom Limited (BTL), and Tashi-Cell, a subsidiary of Tashi InfoComm Limited (TICL), are currently the two service providers offering mobile services with BTL being the sole provider of fixed-line telecommunication in the country"
9_22,"Direct high bandwidth connectivity to India, Nepal and Bangladesh is being established under SASEC Information Highway Project"
9_23,More than 90 Government organizations are connected through the Thimphu Wide Area Network (TWAN)
9_20,"Except for four, the remaining Gewogs, will be connected by December 2013"
7_69,"The holding of foreign investors' range from 20 percent to 100 percent, with Mountain Hazelnut Ventures Private Limited being a 100 percent foreign owned company"
7_55,Reductions in the number of products under this list by member states are still being negotiated by the Working Group on Reduction in the Sensitive Lists
7_54,"Due to the large number of products in the sensitive list, trade expansion under SAFTA has been limited; Bhutan has 150 products in the list compared to 1,257 products in Nepal's list"
7_57,The Agreement has been ratified by all the Member States and negotiations on finalization of schedules of specific commitments are ongoing.
7_56,The other agreement within the SAARC framework is on Trade in Services (SATIS) which was signed at the Sixteenth SAARC Summit held in Thimphu from 28-29 April 2010
16_18,"The industry is making significant contribution towards promotion of national language, culture and traditions and in conveying important social messages on HIV, drugs and youth related issues."
